Table 1
Rank,Year,Acquirer Name,Target Name,Value (in bil. USD),Value (in bil. EUR),Ticker,Date of Acquisition,,,,,,,,,,,,,,,,,,
43,2008,Roche Holdings AG,Genentech Inc,"46,694,838","29,319,689",GENE,,,,,,,,,,,,,,,,,,,
35,2007,Shareholders,Kraft Foods Inc,"51,004,959","39,981,767",MDLZ,,,,,,,,,,,,,,,,,,,
9,2006,AT&T Inc,BellSouth Corp,"72,670,997","60,178,126",BLS,,,,,,,,,,,,,,,,,,,
31,2005,Procter & Gamble Co,Gillette Co,"54,906,807","41,976,254",,,,,,,,,,,,,,,,,,,,
25,2004,JPMorgan Chase & Co,"Bank One Corp,Chicago,IL","58,663,146","4,593,911",ONE,,,,,,,,,,,,,,,,,,,
50,2004,Cingular Wireless LLC,AT&T Wireless Services Inc,"41,005,408","32,111,335",T,,,,,,,,,,,,,,,,,,,
37,2003,Bank of America Corp,"FleetBoston Financial Corp,MA","49,260,627","41,803,061",FBF,,,,,,,,,,,,,,,,,,,
23,2002,Pfizer Inc,Pharmacia Corp,"59,515,024","60,019,176",PHABF,,,,,,,,,,,,,,,,,,,
11,2001,Comcast Corp,AT&T Broadband & Internet Svcs,"7,204,115","85,094,646",T,,,,,,,,,,,,,,,,,,,
1,2000,America Online Inc,Time Warner,"16,474,686","16,071,303",TWC,,,,,,,,,,,,,,,,,,,
22,2000,Shareholders,Nortel Networks Corp,"59,973,568","65,509,106",NRTLQ,,,,,,,,,,,,,,,,,,,
45,2000,Chevron Corp,Texaco Inc,"428,723","5,040,835",TX,,,,,,,,,,,,,,,,,,,
48,2000,Shareholders,Liberty Media Corp,"41,864,958","48,833,506",BATRK,,,,,,,,,,,,,,,,,,,
49,2000,JDS Uniphase Corp,SDL Inc,"41,143,566","41,647,492",SDL,,,,,,,,,,,,,,,,,,,
3,1999,Pfizer Inc,Warner-Lambert Co,"89,555,351","85,307,024",WLA,,,,,,,,,,,,,,,,,,,
21,1999,Vodafone Group PLC,AirTouch Communications Inc,"60,286,874","5,165,084",ATCH,,,,,,,,,,,,,,,,,,,
27,1999,Qwest Commun Intl Inc,US WEST Inc,"56,307,028","52,796,116",USW,,,,,,,,,,,,,,,,,,,
36,1999,AT&T Corp,MediaOne Group Inc,"49,278,866","4,530,556",UMG,,,,,,,,,,,,,,,,,,,
8,1998,Exxon Corp,Mobil Corp,"7,894,579","68,357,265",,,,,,,,,,,,,,,,,,,,
10,1998,Travelers Group Inc,Citicorp,"7,255,818","6,724,576",C,,,,,,,,,,,,,,,,,,,
17,1998,SBC Communications Inc,Ameritech Corp,"62,592,542","56,481,257",AMTR,,,,,,,,,,,,,,,,,,,
20,1998,"NationsBank Corp,Charlotte,NC",BankAmerica Corp,"61,633,402","56,674,378",BAC,,,,,,,,,,,,,,,,,,,
32,1998,AT&T Corp,Tele-Communications Inc,"53,592,491","4,878,696",TCI,,,,,,,,,,,,,,,,,,,
33,1998,Bell Atlantic Corp,GTE Corp,"53,414,579","48,199,393",GTE,,,,,,,,,,,,,,,,,,,
41,1998,British Petroleum Co PLC,Amoco Corp,"48,174,085","43,529,477",AMOCO,,,,,,,,,,,,,,,,,,,
47,1997,WorldCom Inc,MCI Communications Corp,"419,069","33,101,799",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: June 17, 2019",,,,,,,,,,,,,,,,,,,,,,,,,
